SRDist20.Modnames,SRDist20.K,SRDist20.AICc,SRDist20.Delta_AICc,SRDist20.ModelLik,SRDist20.AICcWt,SRDist20.LL,SRDist20.Cum.Wt,SRDist50.Modnames,SRDist50.K,SRDist50.AICc,SRDist50.Delta_AICc,SRDist50.ModelLik,SRDist50.AICcWt,SRDist50.LL,SRDist50.Cum.Wt,SRDist100.Modnames,SRDist100.K,SRDist100.AICc,SRDist100.Delta_AICc,SRDist100.ModelLik,SRDist100.AICcWt,SRDist100.LL,SRDist100.Cum.Wt,SRDist200.Modnames,SRDist200.K,SRDist200.AICc,SRDist200.Delta_AICc,SRDist200.ModelLik,SRDist200.AICcWt,SRDist200.LL,SRDist200.Cum.Wt,SRDist500.Modnames,SRDist500.K,SRDist500.AICc,SRDist500.Delta_AICc,SRDist500.ModelLik,SRDist500.AICcWt,SRDist500.LL,SRDist500.Cum.Wt,SRDist1000.Modnames,SRDist1000.K,SRDist1000.AICc,SRDist1000.Delta_AICc,SRDist1000.ModelLik,SRDist1000.AICcWt,SRDist1000.LL,SRDist1000.Cum.Wt,SRDist2000.Modnames,SRDist2000.K,SRDist2000.AICc,SRDist2000.Delta_AICc,SRDist2000.ModelLik,SRDist2000.AICcWt,SRDist2000.LL,SRDist2000.Cum.Wt,SRDist5000.Modnames,SRDist5000.K,SRDist5000.AICc,SRDist5000.Delta_AICc,SRDist5000.ModelLik,SRDist5000.AICcWt,SRDist5000.LL,SRDist5000.Cum.Wt
Disturbance,3,91.55740915451992,0,1,0.7071551155383796,-42.072822224318784,0.7071551155383796,Disturbance,3,93.6173596342233,0,1,0.4629758276261446,-43.10279746417048,0.4629758276261446,Disturbance,3,93.98721335738492,0,1,0.4174390853379337,-43.287724325751284,0.4174390853379337,Disturbance,3,92.68821408324112,0,1,0.5783989853788613,-42.63822468867939,0.5783989853788613,Disturbance,3,89.22500716793355,0,1,0.8857259388812632,-40.9066212310256,0.8857259388812632,Disturbance,3,88.09973049617263,0,1,0.9315308676744662,-40.34398289514514,0.9315308676744662,Disturbance,3,87.99314970121908,0,1,0.9348526139416367,-40.29069249766837,0.9348526139416367,Disturbance,3,88.62250258909067,0,1,0.9128595030231653,-40.60536894160416,0.9128595030231653
Null,2,93.9950035151824,2.4375943606624872,0.29558548922708877,0.20902479078585043,-44.664168424257866,0.9161799063242301,Null,2,93.9950035151824,0.3776438809590985,0.8279339150864956,0.3833133895569244,-44.664168424257866,0.8462892171830689,Null,2,93.9950035151824,0.007790157797487041,0.9961124970815313,0.41581628967539963,-44.664168424257866,0.8332553750133334,Null,2,93.9950035151824,1.306789431941283,0.5202765842772578,0.3009274484623455,-44.664168424257866,0.8793264338412068,Null,2,93.9950035151824,4.769996347248849,0.09208914776849783,0.08156574686802813,-44.664168424257866,0.9672916857492913,Null,2,93.9950035151824,5.895273019009778,0.05246355664828097,0.048871422445861686,-44.664168424257866,0.980402290120328,Null,2,93.9950035151824,6.001853813963322,0.04974094176743382,0.046500449431204245,-44.664168424257866,0.9813530633728409,Null,2,93.9950035151824,5.372500926091732,0.06813593922935778,0.06219853962292813,-44.664168424257866,0.9750580426460934
All Plants,5,95.98066381473683,4.423254660216912,0.1095222745233132,0.07744923669455968,-40.990331907368414,0.9936291430187897,All Plants,5,95.98066381473683,2.3633041805135235,0.3067715055037775,0.14202779165272977,-40.990331907368414,0.9883170088357988,All Plants,5,95.98066381473683,1.993450457351912,0.36908613696408876,0.15407097942520057,-40.990331907368414,0.9873263544385339,All Plants,5,95.98066381473683,3.292449731495708,0.19277629304559055,0.1115016123026676,-40.990331907368414,0.9908280461438743,All Plants,5,95.98066381473683,6.755656646803274,0.034121475140380685,0.030222275604727362,-40.990331907368414,0.9975139613540187,All Plants,5,95.98066381473683,7.880933318564203,0.01943914117275226,0.018108160043500354,-40.990331907368414,0.9985104501638283,All Plants,5,95.98066381473683,7.987514113517747,0.01843034004661744,0.01722965156841354,-40.990331907368414,0.9985827149412544,All Plants,5,95.98066381473683,7.358161225646157,0.025246175178269267,0.023046210926470655,-40.990331907368414,0.9981042535725642
Natural Plants,5,100.97644124848952,9.419032093969605,0.009009136526375717,0.006370856981210256,-43.48822062424476,1,Natural Plants,5,100.97644124848952,7.359081614266216,0.02523455970499456,0.011682991164201215,-43.48822062424476,1,Natural Plants,5,100.97644124848952,6.989227891104605,0.030360466967788213,0.012673645561466062,-43.48822062424476,1,Natural Plants,5,100.97644124848952,8.2882271652484,0.015857486074457396,0.00917195385612558,-43.48822062424476,0.9999999999999999,Natural Plants,5,100.97644124848952,11.751434080555967,0.0028067808978491367,0.0024860386459814214,-43.48822062424476,1,Natural Plants,5,100.97644124848952,12.876710752316896,0.0015990343292545286,0.0014895498361717292,-43.48822062424476,1,Natural Plants,5,100.97644124848952,12.98329154727044,0.001516051875567671,0.001417285058745558,-43.48822062424476,1,Natural Plants,5,100.97644124848952,12.35393865939885,0.0020767121568627655,0.0018957464274359098,-43.48822062424476,1
