Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
ShDist1000,3,78.25572076955996,0,1,0.24088946139093584,-35.421978031838805,0.24088946139093584
ShDist2000,3,78.30546095191633,0.04974018235637345,0.9754366216200757,0.23497240240305414,-35.44684812301699,0.47586186379399
ShDist5000,3,78.60256201589931,0.346841246339352,0.8407838872731549,0.2025359777514076,-35.59539865500848,0.6783978415453976
ShDist500,3,78.68879040286062,0.4330696333006614,0.8053044964295093,0.19398936640060332,-35.638512848489135,0.8723872079460009
ShDist20,3,81.29717113488458,3.0414503653246214,0.2185533383790422,0.05264719596731843,-36.942703214501115,0.9250344039133194
ShDist200,3,82.04577448136573,3.7900537118057684,0.15031429816599987,0.03620913032456424,-37.31700488774169,0.9612435342378836
ShDist50,3,83.19370763422465,4.937986864664694,0.08467004224996835,0.02039612087354266,-37.89097146417115,0.9816396551114263
ShDist100,3,83.4040107536535,5.148289984093537,0.07621896276639906,0.018360344888573663,-37.99612302388557,0.9999999999999999
