AbDist20.Modnames,AbDist20.K,AbDist20.AICc,AbDist20.Delta_AICc,AbDist20.ModelLik,AbDist20.AICcWt,AbDist20.LL,AbDist20.Cum.Wt,AbDist50.Modnames,AbDist50.K,AbDist50.AICc,AbDist50.Delta_AICc,AbDist50.ModelLik,AbDist50.AICcWt,AbDist50.LL,AbDist50.Cum.Wt,AbDist100.Modnames,AbDist100.K,AbDist100.AICc,AbDist100.Delta_AICc,AbDist100.ModelLik,AbDist100.AICcWt,AbDist100.LL,AbDist100.Cum.Wt,AbDist200.Modnames,AbDist200.K,AbDist200.AICc,AbDist200.Delta_AICc,AbDist200.ModelLik,AbDist200.AICcWt,AbDist200.LL,AbDist200.Cum.Wt,AbDist500.Modnames,AbDist500.K,AbDist500.AICc,AbDist500.Delta_AICc,AbDist500.ModelLik,AbDist500.AICcWt,AbDist500.LL,AbDist500.Cum.Wt,AbDist1000.Modnames,AbDist1000.K,AbDist1000.AICc,AbDist1000.Delta_AICc,AbDist1000.ModelLik,AbDist1000.AICcWt,AbDist1000.LL,AbDist1000.Cum.Wt,AbDist2000.Modnames,AbDist2000.K,AbDist2000.AICc,AbDist2000.Delta_AICc,AbDist2000.ModelLik,AbDist2000.AICcWt,AbDist2000.LL,AbDist2000.Cum.Wt,AbDist5000.Modnames,AbDist5000.K,AbDist5000.AICc,AbDist5000.Delta_AICc,AbDist5000.ModelLik,AbDist5000.AICcWt,AbDist5000.LL,AbDist5000.Cum.Wt
All Plants,5,207.32551714167488,0,1,0.45515711793030184,-96.66275857083744,0.45515711793030184,All Plants,5,207.32551714167488,0,1,0.4497593866096035,-96.66275857083744,0.4497593866096035,All Plants,5,207.32551714167488,0,1,0.45684855953148773,-96.66275857083744,0.45684855953148773,All Plants,5,207.32551714167488,0,1,0.4586477352633259,-96.66275857083744,0.4586477352633259,All Plants,5,207.32551714167488,0,1,0.45581380095841423,-96.66275857083744,0.45581380095841423,All Plants,5,207.32551714167488,0,1,0.4475717148688017,-96.66275857083744,0.4475717148688017,All Plants,5,207.32551714167488,0,1,0.40630713518085615,-96.66275857083744,0.40630713518085615,Disturbance,3,207.0142710512421,0,1,0.35448257624330615,-99.80125317267988,0.35448257624330615
Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.4246060761623125,-96.73223938482592,0.8797631940926143,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.41957065119371717,-96.73223938482592,0.8693300378033206,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.42618398487349124,-96.73223938482592,0.8830325444049789,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.42786239638838985,-96.73223938482592,0.8865101316517158,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.42521868133284596,-96.73223938482592,0.8810324822912602,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.4175298202867615,-96.73223938482592,0.8651015351555632,Natural Plants,5,207.46447876965183,0.1389616279769541,0.9328780314215198,0.37903500042003446,-96.73223938482592,0.7853421356008906,All Plants,5,207.32551714167488,0.31124609043277474,0.8558817582934337,0.303395170639507,-96.66275857083744,0.6578777468828132
Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.08864988101198666,-102.96537322068345,0.968413075104601,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.08759857758188662,-102.96537322068345,0.9569286153852073,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.08897931911319816,-102.96537322068345,0.9720118635181771,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.08932974033757092,-102.96537322068345,0.9758398719892867,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.0887777816203952,-102.96537322068345,0.9698102639116554,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.08717248990386185,-102.96537322068345,0.952274025059425,Disturbance,3,209.5214622905423,2.1959451488674233,0.33354663963172937,0.13552237959796937,-101.05484879232998,0.9208645151988599,Natural Plants,5,207.46447876965183,0.45020771840972884,0.7984332898063674,0.28303068952897936,-96.73223938482592,0.9409084364117926
Disturbance,3,212.66131595695973,5.335798815284846,0.0693978488989288,0.03158692489539901,-102.62477562553869,1,Disturbance,3,212.01722493523653,4.691707793561648,0.09576539344620538,0.04307138461479267,-102.30273011467709,1,Disturbance,3,212.91065960783965,5.585142466164768,0.06126348851909631,0.027988136481822985,-102.74944745097865,1.0000000000000002,Disturbance,3,213.2126747068792,5.887157565204319,0.05267687192839213,0.02416012801071332,-102.90045500049843,1,Disturbance,3,212.75468192748195,5.429164785807075,0.06623260643900278,0.030189736088344597,-102.6714586107998,1,Disturbance,3,211.80223910940083,4.47672196772595,0.10663313465768261,0.04772597494057486,-102.19523720175924,0.9999999999999999,Null,2,210.59741310803355,3.27189596635867,0.19476764730187437,0.07913548480114,-102.96537322068345,1,Null,2,210.59741310803355,3.583142056791445,0.16669807643140358,0.05909156358820749,-102.96537322068345,1
