ShDist20.Modnames,ShDist20.K,ShDist20.AICc,ShDist20.Delta_AICc,ShDist20.ModelLik,ShDist20.AICcWt,ShDist20.LL,ShDist20.Cum.Wt,ShDist50.Modnames,ShDist50.K,ShDist50.AICc,ShDist50.Delta_AICc,ShDist50.ModelLik,ShDist50.AICcWt,ShDist50.LL,ShDist50.Cum.Wt,ShDist100.Modnames,ShDist100.K,ShDist100.AICc,ShDist100.Delta_AICc,ShDist100.ModelLik,ShDist100.AICcWt,ShDist100.LL,ShDist100.Cum.Wt,ShDist200.Modnames,ShDist200.K,ShDist200.AICc,ShDist200.Delta_AICc,ShDist200.ModelLik,ShDist200.AICcWt,ShDist200.LL,ShDist200.Cum.Wt,ShDist500.Modnames,ShDist500.K,ShDist500.AICc,ShDist500.Delta_AICc,ShDist500.ModelLik,ShDist500.AICcWt,ShDist500.LL,ShDist500.Cum.Wt,ShDist1000.Modnames,ShDist1000.K,ShDist1000.AICc,ShDist1000.Delta_AICc,ShDist1000.ModelLik,ShDist1000.AICcWt,ShDist1000.LL,ShDist1000.Cum.Wt,ShDist2000.Modnames,ShDist2000.K,ShDist2000.AICc,ShDist2000.Delta_AICc,ShDist2000.ModelLik,ShDist2000.AICcWt,ShDist2000.LL,ShDist2000.Cum.Wt,ShDist5000.Modnames,ShDist5000.K,ShDist5000.AICc,ShDist5000.Delta_AICc,ShDist5000.ModelLik,ShDist5000.AICcWt,ShDist5000.LL,ShDist5000.Cum.Wt
Disturbance,3,81.29717113488458,0,1,0.7439736212560696,-36.942703214501115,0.7439736212560696,Disturbance,3,83.19370763422465,0,1,0.5295796315994001,-37.89097146417115,0.5295796315994001,Disturbance,3,83.4040107536535,0,1,0.5033262730239875,-37.99612302388557,0.5033262730239875,Disturbance,3,82.04577448136573,0,1,0.6665058125957165,-37.31700488774169,0.6665058125957165,Disturbance,3,78.68879040286062,0,1,0.9145824050526069,-35.638512848489135,0.9145824050526069,Disturbance,3,78.25572076955996,0,1,0.9300495207492667,-35.421978031838805,0.9300495207492667,Disturbance,3,78.30546095191633,0,1,0.9284141302228641,-35.44684812301699,0.9284141302228641,Disturbance,3,78.60256201589931,0,1,0.9178908977215903,-35.59539865500848,0.9178908977215903
Null,2,83.81822444799072,2.521053313106137,0.28350467757915593,0.21092000162159907,-39.57577889066202,0.9548936228776687,Null,2,83.81822444799072,0.6245168137660642,0.7317924035997714,0.38754235150560645,-39.57577889066202,0.9171219831050066,Null,2,83.81822444799072,0.4142136943372208,0.8129327857806251,0.40917042928596964,-39.57577889066202,0.912496702309957,Null,2,83.81822444799072,1.7724499666249898,0.41220891483371663,0.2747396377404448,-39.57577889066202,0.9412454503361614,Null,2,83.81822444799072,5.129434045130097,0.07694095091448698,0.07036883993440608,-39.57577889066202,0.984951244987013,Null,2,83.81822444799072,5.562503678430758,0.06196089373099853,0.05762669951971142,-39.57577889066202,0.9876762202689782,Null,2,83.81822444799072,5.512763496074385,0.06352118872478808,0.058973969180646534,-39.57577889066202,0.9873880994035107,Null,2,83.81822444799072,5.215662432091406,0.07369419736616407,0.06764323297730039,-39.57577889066202,0.9855341306988906
All Plants,5,87.16508386929205,5.867912734407469,0.0531861972118015,0.03956912774050343,-36.582541934646024,0.9944627506181721,All Plants,5,87.16508386929205,3.971376235067396,0.13728611262538573,0.07270392894786552,-36.582541934646024,0.9898259120528721,All Plants,5,87.16508386929205,3.7610731156385526,0.1525082543034782,0.07676141124396418,-36.582541934646024,0.9892581135539213,All Plants,5,87.16508386929205,5.119309387926322,0.07733143884614566,0.05154185348734627,-36.582541934646024,0.9927873038235075,All Plants,5,87.16508386929205,8.476293466431429,0.014434317711949854,0.013201373008288539,-36.582541934646024,0.9981526179953015,All Plants,5,87.16508386929205,8.90936309973209,0.011624020956325323,0.0108109151196098,-36.582541934646024,0.9984871353885879,All Plants,5,87.16508386929205,8.859622917375717,0.011916736258086464,0.011063666328146614,-36.582541934646024,0.9984517657316573,All Plants,5,87.16508386929205,8.562521853392738,0.013825218504156345,0.012690042223977209,-36.582541934646024,0.9982241729228679
Natural Plants,5,91.0981865407189,9.80101540583432,0.0074428033785379705,0.005537249381827803,-38.54909327035945,0.9999999999999999,Natural Plants,5,91.0981865407189,7.904478906494248,0.01921163001756853,0.010174087947127918,-38.54909327035945,1,Natural Plants,5,91.0981865407189,7.694175787065404,0.021341795614088204,0.010741886446078697,-38.54909327035945,1,Natural Plants,5,91.0981865407189,9.052412059353173,0.010821655325708897,0.007212696176492372,-38.54909327035945,1,Natural Plants,5,91.0981865407189,12.40939613785828,0.002019918592892984,0.001847382004698543,-38.54909327035945,1,Natural Plants,5,91.0981865407189,12.842465771158942,0.0016266495252782876,0.0015128646114120935,-38.54909327035945,1,Natural Plants,5,91.0981865407189,12.792725588802568,0.0016676117025180275,0.0015482342683427442,-38.54909327035945,1,Natural Plants,5,91.0981865407189,12.49562452481959,0.0019346820864441943,0.0017758270771321407,-38.54909327035945,1
