Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
AbDist20,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.125
AbDist50,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.25
AbDist100,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.375
AbDist200,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.5
AbDist500,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.625
AbDist1000,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.75
AbDist2000,5,207.32551714167488,0,1,0.125,-96.66275857083744,0.875
AbDist5000,5,207.32551714167488,0,1,0.125,-96.66275857083744,1
