Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
SRDist2000,3,87.99314970121908,0,1,0.2841705442791337,-40.29069249766837,0.2841705442791337
SRDist1000,3,88.09973049617263,0.106580794953544,0.9481046453045543,0.2694234130897702,-40.34398289514514,0.5535939573689039
SRDist5000,3,88.62250258909067,0.6293528878715904,0.730025040089297,0.20745161297957193,-40.60536894160416,0.7610455703484758
SRDist500,3,89.22500716793355,1.231857466714473,0.540139017167117,0.15349159849477595,-40.9066212310256,0.9145371688432518
SRDist20,3,91.55740915451992,3.564259453300835,0.1682793762897456,0.047820041951210146,-42.072822224318784,0.9623572107944619
SRDist200,3,92.68821408324112,4.695064382022039,0.09560480573334171,0.027168069680944554,-42.63822468867939,0.9895252804754064
SRDist50,5,95.98066381473683,7.987514113517747,0.01843034004661744,0.005237359762296791,-40.990331907368414,0.9947626402377032
SRDist100,5,95.98066381473683,7.987514113517747,0.01843034004661744,0.005237359762296791,-40.990331907368414,1
