AbDist20.term,AbDist20.estimate,AbDist20.std.error,AbDist20.statistic,AbDist20.p.value,AbDist50.term,AbDist50.estimate,AbDist50.std.error,AbDist50.statistic,AbDist50.p.value,AbDist100.term,AbDist100.estimate,AbDist100.std.error,AbDist100.statistic,AbDist100.p.value,AbDist200.term,AbDist200.estimate,AbDist200.std.error,AbDist200.statistic,AbDist200.p.value,AbDist500.term,AbDist500.estimate,AbDist500.std.error,AbDist500.statistic,AbDist500.p.value,AbDist1000.term,AbDist1000.estimate,AbDist1000.std.error,AbDist1000.statistic,AbDist1000.p.value,AbDist2000.term,AbDist2000.estimate,AbDist2000.std.error,AbDist2000.statistic,AbDist2000.p.value,AbDist5000.term,AbDist5000.estimate,AbDist5000.std.error,AbDist5000.statistic,AbDist5000.p.value
(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164,(Intercept),-10.403488329544565,57.478663662469636,-0.18099739393101902,0.8585099595870164
nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779,nspecies,1.20689864880448,2.8536976283882023,0.42292450216113076,0.6776518476959779
avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336,avgbloom,3.9660419293736733,5.24307239002476,0.7564347074282802,0.45974380356343336
nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086,nspecies:avgbloom,-0.01379232152418045,0.2423785154594128,-0.056904059743240844,0.955285106362086
