SRDist20.term,SRDist20.estimate,SRDist20.std.error,SRDist20.statistic,SRDist20.p.value,SRDist50.term,SRDist50.estimate,SRDist50.std.error,SRDist50.statistic,SRDist50.p.value,SRDist100.term,SRDist100.estimate,SRDist100.std.error,SRDist100.statistic,SRDist100.p.value,SRDist200.term,SRDist200.estimate,SRDist200.std.error,SRDist200.statistic,SRDist200.p.value,SRDist500.term,SRDist500.estimate,SRDist500.std.error,SRDist500.statistic,SRDist500.p.value,SRDist1000.term,SRDist1000.estimate,SRDist1000.std.error,SRDist1000.statistic,SRDist1000.p.value,SRDist2000.term,SRDist2000.estimate,SRDist2000.std.error,SRDist2000.statistic,SRDist2000.p.value,SRDist5000.term,SRDist5000.estimate,SRDist5000.std.error,SRDist5000.statistic,SRDist5000.p.value
(Intercept),5.305280716759715,0.4981966147251598,10.648969824266029,1.8936064773248806e-9,(Intercept),1.6582993700040678,4.056602805152577,0.4087901748472256,0.6877972247480595,(Intercept),1.6582993700040678,4.056602805152577,0.4087901748472256,0.6877972247480595,(Intercept),6.489870921570159,1.0043434054289966,6.461804684024451,3.4153397060127656e-6,(Intercept),7.1247406709520735,0.9465351634010677,7.527180126464214,4.092229213875642e-7,(Intercept),7.5564539407924904,1.006177389199305,7.5100613688067055,4.229028263803712e-7,(Intercept),7.545612077047702,0.9961757129295304,7.57457944327687,3.7368726821677653e-7,(Intercept),7.123432115059291,0.9084375921866564,7.841410545233845,2.2535041729360139e-7
anthroper,-2.5110492978240626,1.0888402195076978,-2.3061687590484072,0.032538438462012036,nspecies,0.23526309666084194,0.20140199974648193,1.1681269151099951,0.2588773191155853,nspecies,0.23526309666084194,0.20140199974648193,1.1681269151099951,0.2588773191155853,anthroper,-3.0687428643911616,1.5260858648216775,-2.010858586092561,0.05874843303051807,anthroper,-4.3057854457919635,1.505934929761108,-2.85921082026765,0.010037822554045965,anthroper,-5.256013504008541,1.690134960184363,-3.109818817921621,0.0057674679407842796,anthroper,-5.610829322112275,1.7907742718621085,-3.1331862481349715,0.00547439134336037,anthroper,-6.161179363652921,2.0576108877054926,-2.994336490182285,0.0074546009388109106
(Intercept),5.305280716759715,0.4981966147251598,10.648969824266029,1.8936064773248806e-9,avgbloom,-0.10244290824187631,0.3700340406292356,-0.27684725455980796,0.7852353847838972,avgbloom,-0.10244290824187631,0.3700340406292356,-0.27684725455980796,0.7852353847838972,(Intercept),6.489870921570159,1.0043434054289966,6.461804684024451,3.4153397060127656e-6,(Intercept),7.1247406709520735,0.9465351634010677,7.527180126464214,4.092229213875642e-7,(Intercept),7.5564539407924904,1.006177389199305,7.5100613688067055,4.229028263803712e-7,(Intercept),7.545612077047702,0.9961757129295304,7.57457944327687,3.7368726821677653e-7,(Intercept),7.123432115059291,0.9084375921866564,7.841410545233845,2.2535041729360139e-7
anthroper,-2.5110492978240626,1.0888402195076978,-2.3061687590484072,0.032538438462012036,nspecies:avgbloom,-0.0034332781263442273,0.017106058197441484,-0.20070539259931522,0.8433105494440636,nspecies:avgbloom,-0.0034332781263442273,0.017106058197441484,-0.20070539259931522,0.8433105494440636,anthroper,-3.0687428643911616,1.5260858648216775,-2.010858586092561,0.05874843303051807,anthroper,-4.3057854457919635,1.505934929761108,-2.85921082026765,0.010037822554045965,anthroper,-5.256013504008541,1.690134960184363,-3.109818817921621,0.0057674679407842796,anthroper,-5.610829322112275,1.7907742718621085,-3.1331862481349715,0.00547439134336037,anthroper,-6.161179363652921,2.0576108877054926,-2.994336490182285,0.0074546009388109106
